sentence_a,sentence_b,answer
"i'm not wrong,"" the outspoken comedian went on a vulgarity-laden two-minute rant against republicans and the troops.","i'm not a huge fan, but i have to give credit where credit is due and he's wiping the floor with the republican field in these debates.",0
"too bad you didn't have that back in 2004, you could have told your fellow righties not to vote for the debt doubler.",i can't imagine that you would have any rights to the marital home.,0
"bloodletting is not a valid medical treatment, either.",the father is not a public figure and is a private citizen.,0
i think the lakotas never expected to win in court..ray,i'm shocked he was even elected...,0
"pakistani military, isi or the nwo order?",as we stand there is no will that we know of anywhere.,0
the lawmakers choice to bail out the banks is an entirely separate issue of accountability.,what the police have to find out now is if zimmerman instigated the confrontation.,0
i need to set these things correct so that the record will be clear testimonyat rex's sanity hearing.,the court must take into consideration the technology of the times in their ruling.,0
how much air time did that get?,how old is that program?,0
"or, what, then, was the lie?",what are the ecological issues?,0
they find very few papers (7 in total) predict global cooling.,"what surprises is that even in the 1970s, on the back of 3 decades of cooling, more papers (42 in total) predict global warming due to co2 than cooling.",1
3 Palestinians released from Israeli prisons,Two Canadians released from prison in Egypt,0
"Crowds, Dignitaries Gather for Mandela Memorial Service",Obama takes 'selfie' at Mandela's funeral service,1
Two dead as Egyptians clash ahead of opposition rallies,"Two dead, as Egyptians clash ahead of rallies",3
Death toll from Baghdad bombs rises to 19,Death toll from Egypt clashes rises to 57,0
Iranian nuclear talks to be extended to November,Iran nuclear talks extended to November 24,3
FBI audio expert testifies in Zimmerman trial,Jury selection begins in Zimmerman's trial,1
Brazil Buzzing With Anticipation for Pope Francis,Brazil crowds greet Pope Francis,2
Egypt police fail to start operation to disperse pro-Mursi camps,Egypt postpones dispersing pro-Morsi protest camps,4
"Well, you can always limit the number of iterations or timeout to recover from ""infinite loops"" in decision procedures.",We're paradox free because of the differing registers of both rational & irrational thinking we're capable of.,0
"Not necessarily tied to philosophy, but in formal debates the sides agree on a proposition to make arguments about.","""Burden"" is an artificial construct: a notion of a social responsibility.",0
I don't think you can find a consistent distiction across philosophers.,I have long pondered this question specifically in reference to mathematics.,0
"The most simple example i can think of is the category mistake, a kind of fallacy.","This does not appear to be a kōan at all, but merely a story.",0
Brown dog jumping over a bar on a grassy field.,Brown dog jumping over a hurdle.,3
The black and white race car is going fast around the track while fans watch nearby.,A black and white rally car takes the turn.,3
A boy wearing red shoes is climbing in a tree.,A child wearing red shoes climbing a tree.,4
A woman sits alone against a brick wall,A woman is walking with a red bag.,0
"don't let the facts get in the way, though.",don't want to read and run but i don't know what to say.,0
"in the 1904 presidential election, roosevelt won the presidency in his own right in a landslide victory.","in august 1902, roosevelt was the first president to be seen riding in an automobile in public.[52]",1
"a mexican shooting a black kid is the ""biggest, most powerful"" news story?","any of you wager to guess why such little coverage for the biggest, most powerful media organization on the world?",0
This line of thought has a rich tradition in philosophy.,"No, I don't think it is wise to see emotions and intelligence as algorithms.",0
"Forget for a moment that you ever learned anything about so-called ""complex"" or ""imaginary"" numbers.","As others have already mentioned, numbers are of course abstractions.",1
"What you are asking about is the nature of causality, which is one of the stickiest problems in philosophy.","In ""ideal"" conditions, for example (warm temperature, moist environment, bacterial presence, etc), mold will grow on bread.",0
"The question of time is an incredibly difficult one, which has been treated of philosophers from Aristotle to Heidegger.","wikipedia, as much as it is a supposedly self correcting medium, is not necessarily a definitive account of anything.",0
if a bj was the biggest concern of the nation with the president right now-the whole country would be a lot better.,i change the diaper at the normal time in the evening and it is huge and totally full of pee.,0
the prosecturor didn't even indict clinton let alone get a conviction.,"at our center, the director is the last one out the door.",0
what happened to personal responsibility and accountability?,it's the individual citizens' responsibility to fund their own behavior.,1
"in august 1902, roosevelt was the first president to be seen riding in an automobile in public.[52]",he was the first speaker of the house in history to be fined.,0
"all that remained left was to add gravity and a ""theory of everything"" could be contemplated.",if he had twelve months to do it and he was leasing he could have easily relocated.,0
he served eleven years total behind bars for his antiwar activities.,i had moved to new york to be close to the power center of the country for my anti war activity.,0
